id,treat.hs,treat.para,rear.temp.avg,rear.temp.var,test.temp,test.time,chamber,date.hatch,date.died,date.coll,coll.loc,date.ovp,time.ovp,num.ovp,date.3,time.3,mass.3,date.in.test,time.in.test,mass.in.test,date.out.test,time.out.test,mass.out.test,date.4,mass.4,date.5,mass.5,inst.6,date.6,mass.6,inst.7,date.7,mass.7,date.wand,mass.wand,mongo,date.died.mongo,date5.2wks,mass5.2wks,date5.3wks,mass5.3wks,date.p6.wk1,mass.p6.wk1,date.p6.wk2,mass.p6.wk2,date.p6.wk3,mass.p6.wk3,date.cull,mass.cull,date.p7.wk1,mass.p7.wk1,date.em,mass.48em,num.em,num.coc,num.fail.spin,num.unem,load,date.ecl,num.ecl,live.fem,live.male,para.pup,para.ecl,in.florence,notes,diss.notes
91,control,np,25,10,35,,marvin,7/27/18,8/20/18,7/26/18,rm,,,,8/4/18,13:49,29.39,8/4/18,18:05,40.01,8/5/18,17:55,55,8/8/18,79.94,8/15/18,212.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
92,shock,np,25,10,40,,wallace,7/27/18,,7/26/18,rm,,,,8/4/18,13:50,28.03,8/4/18,18:05,27.73,8/5/18,17:55,51.79,8/8/18,81.03,8/11/18,249.88,1,8/16/18,1229.95,,,,8/22/18,8340.23,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
93,shock,np,25,10,43,,c3po,7/27/18,8/4/18,7/26/18,rm,,,,8/4/18,13:52,29.89,8/4/18,18:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,squished by lid before test,
94,control,p,25,10,35,,marvin,7/27/18,8/5/18,7/26/18,rm,8/4/18,15:45,1,8/4/18,13:53,23.05,8/4/18,18:05,23.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
95,shock,p,25,10,40,,wallace,7/27/18,8/11/18,7/26/18,rm,8/4/18,15:53,1,8/4/18,13:54,46.31,8/4/18,18:05,33.9,8/5/18,17:55,31.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
96,shock,p,25,10,43,,c3po,7/27/18,8/5/18,7/26/18,rm,8/4/18,16:07,1,8/4/18,13:55,40.39,8/4/18,18:05,45.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
97,control,np,25,10,35,,marvin,7/28/18,,7/26/18,rm,,,,8/4/18,13:49,27.51,8/4/18,18:05,28,8/5/18,17:55,87.43,8/8/18,142.06,8/14/18,1206.1,,,,,,,8/20/18,8377.03,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
98,shock,np,25,10,40,,wallace,7/28/18,,7/26/18,rm,,,,8/4/18,13:52,31.13,8/4/18,18:05,34.44,8/5/18,17:55,50.81,8/9/18,141.72,8/13/18,634.97,,,,,,,8/20/18,6217.34,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
99,shock,np,25,10,43,,c3po/r2d2,7/28/18,8/5/18,7/26/18,rm,,,,8/4/18,13:53,43.89,8/4/18,18:05,52.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,"moved from c3po to R2D2 at 4:30pm 8/5/18. had this data for 6th instar 1	8/18/18	1910.41, but it is false, the caterpillar is much smaller. Maybe row above or below?",
100,control,p,25,10,35,,marvin,7/28/18,,7/26/18,rm,8/4/18,15:36,1,8/4/18,13:54,25.77,8/4/18,18:05,33.9,8/5/18,17:55,78.49,8/8/18,61.24,8/13/18,190.12,1,8/18/18,1910.41,,,,,,,,,,,,,,,,,,,,,,8/21/18,183.6,5,4,1,,5,,0,,,,,,wasp cocoons culled on 10/9/18,
101,shock,p,25,10,40,,wallace,7/28/18,,7/26/18,rm,8/4/18,15:54,1,8/4/18,13:57,32.63,8/4/18,18:05,39.08,8/5/18,17:55,63.02,8/9/18,95.7,8/13/18,448.27,,,,,,,,,,,,,,,8/26/18,9127.25,9/1/18,11906.02,9/8/18,11343.81,9/11/18,10320.89,,,,,0,,,,0,,,,,,,,,
102,shock,p,25,10,43,,c3po,7/27/18,8/4/18,7/26/18,rm,,,,8/4/18,13:59,27.44,8/4/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,missing/dead,
103,control,np,25,10,35,,marvin,7/27/18,8/10/18,7/26/18,rm,,,,8/4/18,14:03,27.86,8/4/18,18:05,28.34,8/5/18,17:55,24.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
104,shock,np,25,10,40,,wallace,7/27/18,8/5/18,7/26/18,rm,,,,8/4/18,14:05,27.03,8/4/18,18:05,25.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
105,shock,np,25,10,43,,c3po/r2d2,7/27/18,9/1/18,7/26/18,rm,,,,8/4/18,14:06,51.39,8/4/18,18:05,49.76,8/5/18,17:55,51.7,8/13/18,100.54,8/18/18,206.15,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
106,control,p,25,10,35,,marvin,7/27/18,8/7/18,7/26/18,rm,8/4/18,15:46,1,8/4/18,14:08,33.21,8/4/18,18:05,34.9,8/5/18,17:55,28.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
107,shock,p,25,10,40,,wallace,7/27/18,8/5/18,7/26/18,rm,8/4/18,15:56,1,8/4/18,14:09,25.33,8/4/18,18:05,24.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
108,shock,p,25,10,43,,c3po,7/27/18,8/5/18,7/26/18,rm,8/4/18,16:09,1,8/4/18,14:11,22.28,8/4/18,18:05,19.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
109,control,np,25,10,35,,marvin,7/29/18,9/3/18,7/26/18,rm,,,,8/4/18,14:11,36.9,8/4/18,18:05,47.51,8/5/18,17:55,104.81,8/7/18,91.27,8/12/18,306.95,1,8/18/18,1191.82,1,9/1/18,1712.19,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,may have tried to molt to 7th on 9/1/18--did not shed head capsule or over thoracic legs--could not remove,
110,shock,np,25,10,40,,wallace,7/29/18,,7/26/18,rm,,,,8/4/18,14:12,20.17,8/4/18,18:05,22.53,8/5/18,17:55,34.63,8/8/18,51.18,8/11/18,142.95,1,8/16/18,325.25,,,,8/26/18,7286.56,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
111,shock,np,25,10,43,,c3po/r2d2,7/29/18,8/5/18,7/26/18,rm,,,,8/4/18,14:14,47.4,8/4/18,18:05,49.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
112,control,p,25,10,35,,marvin,7/29/18,8/13/18,7/26/18,rm,8/4/18,15:38,1,8/4/18,14:15,25.06,8/4/18,18:05,33.87,8/5/18,17:55,43.14,8/11/18,44.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
113,shock,p,25,10,40,,wallace,7/29/18,8/5/18,7/26/18,rm,8/4/18,15:56,1,8/4/18,14:16,17.54,8/4/18,18:05,15.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
114,shock,p,25,10,43,,c3po,7/29/18,8/5/18,7/26/18,rm,8/4/18,16:10,2,8/4/18,14:18,24.08,8/4/18,18:05,30.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
115,control,np,25,10,35,,marvin,7/29/18,8/7/18,7/26/18,rm,,,,8/4/18,14:20,34.17,8/4/18,18:05,30.51,8/5/18,17:55,23.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
116,shock,np,25,10,40,,wallace,7/29/18,8/17/18,7/26/18,rm,,,,8/4/18,14:21,33.41,8/4/18,18:05,35.69,8/5/18,17:55,55.7,8/10/18,89.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
117,shock,np,25,10,43,,c3po/r2d2,7/29/18,8/7/18,7/26/18,rm,,,,8/4/18,14:22,27.86,8/4/18,18:05,31.74,8/5/18,17:55,29.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
118,control,p,25,10,35,,marvin,7/29/18,,7/26/18,rm,8/4/18,15:39,1,8/4/18,14:23,32.72,8/4/18,18:05,37.59,8/5/18,17:55,89.32,8/7/18,78.56,8/12/18,327.38,1,8/17/18,1609.49,,,,8/23/18,9653.47,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,removed cuticle from 4-5th prolegs at molt to 4th,
119,shock,p,25,10,40,,wallace,7/29/18,8/10/18,7/26/18,rm,8/4/18,15:57,1,8/4/18,14:25,25.17,8/4/18,18:05,29.81,8/5/18,17:55,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
120,shock,p,25,10,43,,c3po/r2d2,7/29/18,8/5/18,7/26/18,rm,8/4/18,16:12,2,8/4/18,14:26,35.87,8/4/18,18:05,37.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
121,control,np,25,10,35,,marvin,7/29/18,8/8/18,7/26/18,rm,,,,8/4/18,14:31,34.16,8/4/18,18:05,32.16,8/5/18,17:55,28.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
122,shock,np,25,10,40,,wallace,7/29/18,,7/26/18,rm,,,,8/4/18,14:32,31.64,8/4/18,18:05,32.91,8/5/18,17:55,84.63,8/8/18,99.16,8/12/18,350.52,1,8/18/18,1000.38,,,,8/26/18,6622.23,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
123,shock,np,25,10,43,,c3po,7/29/18,8/5/18,7/26/18,rm,,,,8/4/18,14:32,27.03,8/4/18,18:05,27.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
124,control,p,25,10,35,,marvin,7/29/18,,7/26/18,rm,8/4/18,15:40,1,8/4/18,14:33,23.33,8/4/18,18:05,22.29,8/5/18,17:55,44.82,8/9/18,88.36,8/13/18,287.72,,,,,,,,,,,,,,,,,,,,,,,,,8/20/18,553.06,4,3,1,,4,8/25/18,,,,,,,,
125,shock,p,25,10,40,,wallace,7/27/18,8/20/18,7/26/18,rm,8/4/18,15:58,1,8/4/18,14:34,22.82,8/4/18,18:05,23.85,8/5/18,17:55,51.85,8/9/18,93.03,8/13/18,236.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
126,shock,p,25,10,43,,c3po,7/27/18,8/5/18,7/26/18,rm,8/4/18,16:13,1,8/4/18,14:35,23.01,8/4/18,18:05,23.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
127,control,np,25,10,35,,marvin,7/28/18,,7/26/18,rm,,,,8/4/18,14:37,23.16,8/4/18,18:05,29.79,8/5/18,17:55,113.23,8/8/18,137.84,8/15/18,295.69,1,8/21/18,988.03,,,,9/4/18,6694.36,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
128,shock,np,25,10,40,,wallace,7/28/18,,7/26/18,rm,,,,8/4/18,14:36,25.54,8/4/18,18:05,26.73,8/5/18,17:55,82.82,8/9/18,115.32,8/13/18,368.48,1,8/18/18,1521.44,,,,8/24/18,7726.96,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
129,shock,np,25,10,43,,c3po,7/28/18,8/5/18,7/26/18,rm,,,,8/4/18,14:35,19.47,8/4/18,18:05,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
130,control,p,25,10,35,,marvin,7/28/18,8/19/18,7/26/18,rm,8/4/18,15:41,1,8/4/18,14:34,22.46,8/4/18,18:05,26.71,8/5/18,17:55,88.66,8/7/18,78.09,8/11/18,181.55,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
131,shock,p,25,10,40,,wallace,7/28/18,,7/26/18,rm,8/4/18,16:00,1,8/4/18,14:33,43.87,8/4/18,18:05,49.2,8/5/18,17:55,143.37,8/8/18,181.57,8/13/18,1033.92,1,8/20/18,4177.13,,,,,,,,,,,,8/27/18,8450.54,9/3/18,10644.33,9/10/18,10562.74,9/11/18,10248.72,,,,,0,,,,0,,,,,,,,,
132,shock,p,25,10,43,,c3po,7/28/18,8/5/18,7/26/18,rm,8/4/18,16:16,1,8/4/18,14:33,21.67,8/4/18,18:05,21.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
133,control,np,25,10,35,,marvin,7/27/18,8/7/18,7/26/18,rm,8/4/18,16:01,1,8/4/18,14:37,20.49,8/4/18,18:05,16.57,8/5/18,17:55,16.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
134,shock,np,25,10,40,,wallace,7/27/18,,7/26/18,rm,,,,8/4/18,14:38,31.89,8/4/18,18:05,29.31,8/5/18,17:55,63.08,8/9/18,104.97,8/13/18,309.73,1,8/19/18,837.85,,,,8/27/18,5496.48,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
135,shock,np,25,10,43,,c3po/r2d2,7/27/18,,7/26/18,rm,,,,8/4/18,14:40,41.38,8/4/18,18:05,39.95,8/5/18,17:55,70.47,8/11/18,197.12,8/16/18,1133.4,,,,,,,8/21/18,8061.06,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
136,control,p,25,10,35,,marvin,7/27/18,8/19/18,7/26/18,rm,8/4/18,15:40,1,8/4/18,14:41,34.41,8/4/18,18:05,38.89,8/5/18,17:55,81.26,8/9/18,116.57,8/16/18,183.28,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
137,shock,p,25,10,40,,wallace,7/27/18,,7/26/18,rm,8/4/18,15:59,1,8/4/18,14:41,22.62,8/4/18,18:05,34.27,8/5/18,17:55,48.29,8/10/18,117.36,8/15/18,343,1,8/22/18,872.96,,,,,,,,,,,,8/29/18,3950.78,9/7/18,8945.93,,,9/11/18,8976.53,,,,,0,,,,0,,,,,,,,,
138,shock,p,25,10,43,,c3po/r2d2,7/27/18,8/5/18,7/26/18,rm,8/4/18,16:17,1,8/4/18,14:42,32.62,8/4/18,18:05,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
139,control,np,25,10,35,,marvin,7/28/18,,7/26/18,rm,,,,8/4/18,14:43,23.03,8/4/18,18:05,26.87,8/5/18,17:55,96.06,8/7/18,77.33,8/13/18,178.8,1,8/22/18,7432.64,,,,8/31/18,5978.05,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,,
140,shock,np,25,10,40,,wallace,7/28/18,,7/26/18,rm,,,,8/4/18,14:42,43.55,8/4/18,18:05,47.25,8/5/18,17:55,143.29,8/8/18,162.28,8/14/18,1005.44,,,,,,,8/20/18,7574.23,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
141,shock,np,25,10,43,,c3po/r2d2,7/28/18,8/7/18,7/26/18,rm,,,,8/4/18,14:44,28.65,8/4/18,18:05,31.62,8/5/18,17:55,45.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
142,control,p,25,10,35,,marvin,7/28/18,,7/26/18,rm,8/4/18,15:41,1,8/4/18,14:45,41.53,8/4/18,18:05,40.49,8/5/18,17:55,59.84,8/9/18,112.18,8/14/18,441.22,,,,,,,,,,,,,,,,,,,,,,,,,8/20/18,815.24,29,28,1,,29,8/26/18,,,,,,,,
143,shock,p,25,10,40,,wallace,7/28/18,9/6/18,7/26/18,rm,,,,8/4/18,14:46,33.64,8/4/18,18:05,31.73,8/5/18,17:55,42.51,8/9/18,71.12,8/14/18,241.62,1,8/20/18,1398.47,,,,,,,,,,,,8/27/18,8280.52,9/3/18,8513.08,,,,,,,,,0,,,,0,,,,,,,,died 17 days post 6th,
144,shock,p,25,10,43,,c3po,7/28/18,8/5/18,7/26/18,rm,8/4/18,16:19,1,8/4/18,14:46,52,8/4/18,18:05,50.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
145,control,np,25,10,35,,marvin,7/27/18,,7/26/18,rm,,,,8/4/18,14:55,34.86,8/4/18,18:05,37.69,8/5/18,17:55,142.57,8/7/18,148.72,8/11/18,628.42,,,,,,,8/17/18,6192.5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
146,shock,np,25,10,40,,wallace,7/27/18,8/8/18,7/26/18,rm,,,,8/4/18,14:56,41.29,8/4/18,18:05,38.24,8/5/18,17:55,33.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
147,shock,np,25,10,43,,c3po/r2d2,7/27/18,8/6/18,7/26/18,rm,,,,8/4/18,14:56,20.05,8/4/18,18:05,19.46,8/5/18,17:55,17.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
148,control,p,25,10,35,,marvin,7/27/18,8/19/18,7/26/18,rm,8/4/18,15:43,1,8/4/18,14:57,37.28,8/4/18,18:05,40.25,8/5/18,17:55,110.77,8/8/18,125.64,8/13/18,440.42,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,died during trial,
149,shock,p,25,10,40,,wallace,7/27/18,,7/26/18,rm,8/4/18,16:02,1,8/4/18,14:58,38.33,8/4/18,18:05,38.98,8/5/18,17:55,97.14,8/9/18,111.64,8/15/18,629.41,,,,,,,8/23/18,5029.44,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,was supposed to be parasatized but wandered. freezing for dissection later.,
150,shock,p,25,10,43,,c3po/r2d2,7/27/18,8/5/18,7/26/18,rm,8/4/18,16:20,1,8/4/18,14:58,33.76,8/4/18,18:05,36.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
151,control,np,25,10,35,,marvin,7/27/18,,7/26/18,rm,,,,8/4/18,15:03,39.55,8/4/18,18:05,46.09,8/5/18,17:55,189.4,8/7/18,252.01,8/11/18,1403.29,,,,,,,8/16/18,10489.97,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
152,shock,np,25,10,40,,wallace,7/27/18,,7/26/18,rm,,,,8/4/18,15:04,25.13,8/4/18,18:05,27.71,8/5/18,17:55,83.57,8/8/18,112.44,8/13/18,710.49,,,,,,,8/18/18,6086.21,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
153,shock,np,25,10,43,,c3po/r2d2,7/27/18,8/7/18,7/26/18,rm,,,,8/4/18,15:05,36.76,8/4/18,18:05,39.66,8/5/18,17:55,56.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
154,shock,p,25,10,43,,c3po/r2d2,7/30/18,,7/26/18,rm,8/5/18,11:26,1,8/5/18,10:24,37.9,8/5/18,13:40,39.98,8/6/18,13:37,68.88,8/11/18,174.81,8/16/18,538.83,1,8/23/18,,,,,9/1/18,12942.61,,,,,,,8/31/18,13886.52,,,,,,,,,,,0,,,,0,,,,,1,,,moved from c3po to R2D2 at 4:30pm 8/5/18. Wandered--put in pupae box,
155,shock,p,25,10,43,,c3po/r2d2,7/30/18,,7/26/18,rm,8/5/18,11:28,1,8/5/18,10:26,22.51,8/5/18,13:40,25.53,8/6/18,13:37,36.7,8/11/18,85.77,8/16/18,204.93,1,8/22/18,866.88,,,,,,,,,,,,8/29/18,4191.14,9/5/18,65596.51,,,9/11/18,7045.55,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
156,shock,p,25,10,43,,c3po/r2d2,7/30/18,,7/26/18,rm,8/5/18,11:29,2,8/5/18,10:27,26.97,8/5/18,13:40,27.57,8/6/18,13:37,37.74,8/12/18,118.51,8/16/18,387.29,1,8/21/18,1788.71,,,,9/8/18,8733.47,,,,,,,8/28/18,9231.34,9/4/18,9911.76,,,,,,,,,0,,,,0,,,,,1,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
157,shock,np,25,10,43,,c3po/r2d2,7/28/18,8/6/18,7/26/18,rm,,,,8/5/18,10:30,18.53,8/5/18,13:40,18.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
158,shock,np,25,10,43,,c3po/r2d2,7/28/18,8/15/18,7/26/18,rm,,,,8/5/18,10:31,26.56,8/5/18,13:40,29.64,8/6/18,13:37,25.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
159,shock,np,25,10,43,,c3po/r2d2,7/28/18,,7/26/18,rm,,,,8/5/18,10:31,41.57,8/5/18,13:40,46.44,8/6/18,13:37,79.06,8/10/18,154.29,8/15/18,907.98,,,,,,,8/21/18,7276.21,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
160,shock,p,25,10,43,,c3po/r2d2,7/28/18,,7/26/18,rm,8/5/18,11:31,1,8/5/18,10:32,44.08,8/5/18,13:40,45.44,8/6/18,13:37,80.97,8/9/18,133.3,8/14/18,1036.24,,,,,,,8/21/18,7062.41,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
161,shock,p,25,10,35,,marvin,7/29/18,8/24/18,7/26/18,rm,8/5/18,11:51,2,8/5/18,10:38,23.98,8/5/18,13:40,27.24,8/6/18,13:37,84.51,8/8/18,73.18,8/13/18,208.28,,,,,,,,,,,,,,,,,,,,,,,,,8/22/18,652.48,10,5,5,,10,8/29/18,,,,,,,,
162,shock,p,25,10,40,,wallace,7/29/18,8/15/18,7/26/18,rm,8/5/18,11:42,1,8/5/18,10:39,20.55,8/5/18,13:40,19.84,8/6/18,13:37,18.09,8/12/18,54.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
163,shock,p,25,10,40,,wallace,7/29/18,9/5/18,7/26/18,rm,8/5/18,11:44,1,8/5/18,10:40,22.38,8/5/18,13:40,23.32,8/6/18,13:37,39.34,8/9/18,53.35,8/14/18,145.24,1,8/21/18,331.44,,,,,,,,,,,,8/28/18,506.29,9/4/18,500.82,,,,,,,,,0,,,,0,,,,,,,,,
164,shock,p,25,10,43,,c3po/r2d2,7/29/18,8/8/18,7/26/18,rm,8/5/18,11:32,1,8/5/18,10:42,32.31,8/5/18,13:40,34.27,8/6/18,13:37,34.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
165,shock,p,25,10,43,,c3po/r2d2,7/29/18,,7/26/18,rm,8/5/18,11:33,1,8/5/18,10:42,34.58,8/5/18,13:40,33.14,8/6/18,13:37,49.49,8/11/18,135.89,8/15/18,701.48,1,8/20/18,2011.79,,,,,,,,,,,,8/27/18,8436.51,9/3/18,13678.56,9/10/18,15261.56,9/11/18,15088.31,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
166,shock,p,25,10,43,,c3po/r2d2,7/29/18,8/12/18,7/26/18,rm,8/5/18,11:34,1,8/5/18,10:43,27.15,8/5/18,13:40,25.55,8/6/18,13:37,25.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
167,shock,np,25,10,43,,c3po/r2d2,7/29/18,,7/26/18,rm,,,,8/5/18,10:44,20.16,8/5/18,13:40,23.6,8/6/18,13:37,40.96,8/10/18,116.4,8/14/18,816.97,,,,,,,8/20/18,8883.22,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
168,shock,np,25,10,43,,c3po/r2d2,7/29/18,,7/26/18,rm,,,,8/5/18,10:44,32.73,8/5/18,13:40,35.24,8/6/18,13:37,36.13,8/9/18,68.85,8/13/18,257.78,1,8/17/18,1012.45,,,,8/24/18,6863.25,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
169,shock,np,25,10,43,,c3po/r2d2,7/29/18,8/28/18,7/26/18,rm,,,,8/5/18,10:46,16.87,8/5/18,13:40,18.66,8/6/18,13:37,30.63,8/9/18,74.19,8/13/18,188.39,1,8/26/18,229.67,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
170,control,p,25,10,35,,marvin,7/27/18,,7/26/18,rm,8/5/18,11:54,1,8/5/18,10:55,36.28,8/5/18,13:40,37.28,8/6/18,13:37,100.89,8/9/18,115.66,8/13/18,490.27,,,,,,,,,,,,,,,,,,,,,,,,,8/20/18,1752.01,20,16,4,,20,8/27/18,,,,,,,,
171,shock,p,25,10,40,,wallace,7/27/18,,7/26/18,rm,8/5/18,11:45,1,8/5/18,10:56,31.73,8/5/18,13:40,29.09,8/6/18,13:37,75.61,8/9/18,98.35,8/13/18,260.52,1,8/20/18,756.93,,,,8/31/18,4485.49,,,,,,,8/27/18,3016.79,,,,,,,,,,,0,,,,0,,,,,1,1,,wandered--kept in pupa box to see if it pupates successfully,
172,shock,p,25,10,43,,c3po/r2d2,7/27/18,,7/26/18,rm,8/5/18,11:35,1,8/5/18,10:57,35.76,8/5/18,13:40,36.45,8/6/18,13:37,44.65,8/12/18,163.65,8/16/18,773.79,1,8/21/18,2342.12,,,,9/1/18,10344.76,,,,,,,8/28/18,9857.28,,,,,,,,,,,0,,,,0,,,,,1,1,,moved from c3po to R2D2 at 4:30pm 8/5/18. wandered--put in pupae box. pupated 9/7/18. eclosed 10/1/18,
173,control,np,25,10,35,,marvin,7/27/18,8/6/18,7/26/18,rm,,,,8/5/18,10:58,10:18,8/5/18,13:40,10.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
174,shock,np,25,10,40,,wallace,7/27/18,8/7/18,7/26/18,rm,,,,8/5/18,11:08,13.72,8/5/18,13:40,12.52,8/6/18,13:37,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
175,shock,np,25,10,43,,c3po/r2d2,7/27/18,8/6/18,7/26/18,rm,,,,8/5/18,10:59,12.43,8/5/18,13:40,14.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm 8/5/18,
